Passenger_ID,Flight_ID,Airline,Departure_Airport,Arrival_Airport,Departure_Time,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Price_USD,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,Bags_Checked,Frequent_Flyer_Status,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected,Booking_Lead_Time
P1,F68,Southwest,JFK,ATL,3/27/2024 6:22,161,On-time,803,148.42,47,Male,Medium,Emergency,Business,2,Platinum,Online,8.801355815,0,91,1,1,Window,102
P2,F1687,Southwest,JFK,DFW,12/28/2024 9:18,130,On-time,1605,228.57,30,Female,Low,Family,Business,1,Gold,Airport Kiosk,9.094379535,2,45,0,0,Middle,51
P3,F1745,United,ORD,ORD,5/23/2024 23:28,169,On-time,908,232.45,46,Male,Low,Business,Economy,0,Silver,Airport Kiosk,8.015234664,0,63,0,0,Middle,92
P4,F1514,Delta,SEA,ORD,10/31/2023 8:09,227,On-time,63,526.43,75,Female,Medium,Leisure,Business,0,Platinum,Online,7.544132606,9,57,0,1,Window,14
P5,F1753,Southwest,LAX,JFK,1/17/2025 22:21,150,On-time,628,324.14,23,Male,High,Family,Economy,2,Silver,Desk,7.133139948,3,58,0,0,Middle,106
P6,F1928,Delta,SFO,LAX,2/15/2025 1:17,155,On-time,1409,402.53,28,Female,Low,Emergency,Business,0,,Online,9.577452567,11,68,0,0,Window,71
P7,F532,Delta,ATL,SEA,10/30/2024 14:20,170,On-time,794,356.89,69,Female,Low,Emergency,Economy,0,Silver,Mobile App,7.404526183,17,37,0,0,Window,60
P8,F857,Delta,DFW,LAX,11/12/2023 13:05,82,On-time,1273,414,59,Male,Medium,Emergency,Business,1,,Airport Kiosk,8.544832992,11,49,0,0,Middle,20
P9,F16,American Airlines,ATL,SEA,11/16/2023 0:44,191,On-time,1196,201.48,50,Female,Medium,Emergency,Economy,0,Gold,Online,6.293315475,16,57,0,0,Window,102
P10,F473,United,DEN,JFK,4/18/2025 1:27,201,On-time,1115,444.95,60,Female,Medium,Emergency,Economy,1,Platinum,Airport Kiosk,8.642996784,1,116,0,1,Aisle,82
P11,F960,United,SEA,SFO,4/29/2024 10:38,245,On-time,818,218.26,77,Male,Medium,Business,Business,1,,Mobile App,8.981152719,4,87,0,0,Middle,86
P12,F170,JetBlue,DFW,ATL,6/20/2023 14:41,101,On-time,1148,338,39,Male,Medium,Business,Premium Economy,1,Gold,Online,7.938701718,7,9,0,0,Middle,74
P13,F1171,American Airlines,DFW,ORD,2/28/2024 1:57,108,Delayed,1167,388.83,28,Female,Medium,Emergency,Economy,0,,Desk,7.097553,13,115,0,0,Window,74
P14,F1788,United,DEN,JFK,9/18/2024 7:37,237,On-time,1544,276.14,38,Female,Low,Business,Economy,0,Silver,Desk,8.371072669,3,13,0,0,Window,87
P15,F377,Southwest,JFK,DEN,5/13/2024 12:05,188,On-time,596,359.22,20,Male,Low,Business,Business,0,Gold,Desk,9.696190518,8,87,0,0,Window,116
P16,F484,Southwest,SEA,SEA,5/12/2023 20:15,228,On-time,1256,361.83,73,Male,Low,Business,Business,1,,Mobile App,9.421365563,3,84,0,0,Middle,99
P17,F1631,JetBlue,DFW,ORD,10/19/2023 19:34,85,On-time,1012,222.65,19,Female,Medium,Emergency,Premium Economy,0,,Online,8.416482761,11,76,0,0,Middle,103
P18,F170,JetBlue,DFW,DEN,4/13/2024 1:27,232,On-time,1196,439.21,18,Female,Low,Family,Premium Economy,0,,Mobile App,8.095781847,12,8,0,0,Window,23
P19,F478,JetBlue,DFW,SFO,1/26/2024 1:03,167,Delayed,1240,215.42,64,Male,Medium,Emergency,Economy,0,Gold,Airport Kiosk,5.900382691,4,88,0,0,Aisle,2
P20,F362,JetBlue,ATL,JFK,9/19/2024 0:55,83,On-time,1387,496.54,20,Male,Medium,Leisure,Economy,0,Platinum,Mobile App,6.938866542,2,24,0,0,Aisle,21
P21,F1143,Southwest,ATL,LAX,11/16/2023 21:04,248,On-time,1004,388.72,22,Male,Medium,Emergency,Premium Economy,0,,Mobile App,6.766471616,4,59,0,0,Middle,52
